03/08/2010;Cynosural Field Generator I;1;1200005,02
03/08/2010;Memory Augmentation - Standard;5;21541062,02
03/08/2010;Memory Augmentation - Standard;5;21541062,02
03/08/2010;Neural Boost - Standard;20;22005000,02
04/08/2010;Arkonor Mining Crystal II;20;835000
04/08/2010;Sisters Core Scanner Probe;2;598065,08
04/08/2010;Sisters Core Scanner Probe;5;598072,01
04/08/2010;Sisters Core Scanner Probe;10;598072,01
04/08/2010;Cybernetic Subprocessor - Standard;1;22106600,01
04/08/2010;Republic Fleet EMP L;40697;1111,01
04/08/2010;Gallente Industrial;1;330999,99
04/08/2010;Kernite Mining Crystal II;5;221000,01
04/08/2010;Kernite Mining Crystal II;24;221000,01
04/08/2010;Kernite Mining Crystal II;3;221000,01
04/08/2010;Large Cargohold Optimization I;2;17600052,01
04/08/2010;Republic Fleet Fusion S;56;353,14
04/08/2010;Cynosural Field Generator I;3;1200005,02
04/08/2010;Cynosural Field Generator I;2;1200005,02
04/08/2010;Cynosural Field Generator I;1;1200005,02
04/08/2010;Cynosural Field Generator I;1;1200005,02
04/08/2010;Memory Augmentation - Standard;5;21541062,02
04/08/2010;Memory Augmentation - Standard;5;21541062,02
04/08/2010;Neural Boost - Standard;20;22005000,02
04/08/2010;Mercury;15596;2700,03
04/08/2010;Mercury;59404;2700,03
05/08/2010;Arkonor Mining Crystal II;20;835000
05/08/2010;Sisters Core Scanner Probe;2;598072,01
05/08/2010;Cybernetic Subprocessor - Standard;1;22106600,01
05/08/2010;Republic Fleet EMP L;40697;1111,01
05/08/2010;Gallente Industrial;1;330999,99
05/08/2010;Kernite Mining Crystal II;5;221000,01
05/08/2010;Kernite Mining Crystal II;24;221000,01
05/08/2010;Kernite Mining Crystal II;3;221000,01
05/08/2010;Large Cargohold Optimization I;2;17600052,01
05/08/2010;Republic Fleet Fusion S;56;353,14
05/08/2010;Memory Augmentation - Standard;5;21541062,02
05/08/2010;Memory Augmentation - Standard;5;21541062,02
05/08/2010;Neural Boost - Standard;17;22005000,02
05/08/2010;Mercury;5596;2700,03
05/08/2010;Mercury;59404;2700,03
06/08/2010;Arkonor Mining Crystal II;20;835000
06/08/2010;Sisters Core Scanner Probe;2;598072,01
06/08/2010;Cybernetic Subprocessor - Standard;1;22106600,01
06/08/2010;Republic Fleet EMP L;15761;1111,01
06/08/2010;Gallente Industrial;1;330999,99
06/08/2010;Kernite Mining Crystal II;5;221000,01
06/08/2010;Kernite Mining Crystal II;24;221000,01
06/08/2010;Kernite Mining Crystal II;3;221000,01
06/08/2010;Kernite Mining Crystal II;6;250001,01
06/08/2010;Kernite Mining Crystal II;7;250001,01
06/08/2010;Republic Fleet Fusion S;56;353,14
06/08/2010;Neural Boost - Standard;17;22005000,02
06/08/2010;Mercury;5596;2700,03
